start,end,text,duration_minutes,encoded_text
3946,24842,"What a start, what a start.I mean you can't do it any better than that.That's one way to start a match up with a clean ace between Luca Raleigh and Talis there.There's the old story.If you can split two of them, they either both go for it, or at night of them go for it.They both leave it.That's what he got there.And they both had to go for that one.",0.3482666666666666,"The match started with a strong ace by Luca Raleigh and Talis, setting the tone for an exciting game. The two players demonstrated great teamwork as they worked together to split the opposing team, resulting in a clean ace. The play showcased the importance of communication and trust among teammates, as both players left the opportunity to the other, ultimately leading to the successful serve."
24862,45664,"It's another beautiful serve.That'll get picked up by Yamamoto.He'll do a lot of that.And then Nishida pops up far side.That's contained.Fernando will set up the Piper tag.And that's a bit of a surprise.Oh, that pushed too long.Two attacks.No kills yet for Brazil.",0.3467,"Yamamoto received another beautiful serve from Luca Raleigh, which led to a nice play. Nishida popped up on the far side and made a good defensive play to contain the attack. Fernando then set up a Piper tag, which was a bit of a surprise move. Unfortunately, the attack got pushed too long and didn't result in a kill for Brazil."
47534,68005,"down 0-2 here very early on, but not perhaps the greatest start that the Brazilians were looking for.Yeah, Luca really pushing it.Nishida with another ace.And again, he's got both of them going for it.I mean, his lasers are fine-tuned here.He's dropping it between two players every time.Here's another one.",0.3411833333333333,"Brazil falls behind 0-2 early on after a shaky start. Luca Kamer pushes the ball, and Nishida responds with an ace, followed by another one, expertly placing the serve between defenders each time."
68305,90022,"Nishida is just so strong, this time attacking the seam of Leal and Thales.His second ace of the match and just three serves.Now, Philly Blaine is saying, you carry on like that.Let's have another 22 like that.Well, is he going to fight with another one?No, he's not.",0.36195,"Nishida continued his strong performance by attacking the seam of Leal and Thales, earning his second ace of the match. He had already served three times and showed no signs of slowing down, impressing Philly Blaine who urged him to maintain this level of play. However, Nishida didn't serve again after that, ending his streak."
90042,105503,"That's a job done by Eugene Nishida.Devastating burst of serving to open up this match.Side out, we'll see Lucas Suck come back there.He won this competition back in 2010.Still going.",0.2576833333333333,"Eugene Nishida delivered a strong serve to start the game, allowing his team to take an early side out and gain momentum. After that, Lucas Suck returned to the court, showing no signs of slowing down as he continues to play at a high level despite being from a previous generation, having won this competition back in 2010 and still competing well today."
110056,127305,"It's easier to say what Lucas Sackkamp hasn't had a major medal in.I mean, he's got the full set.His resume is extremely long and very decorated.And club and international level opens up with a long serve.Japan with the early jump here.",0.2874833333333333,"Lucas Suckelamp, a highly experienced and decorated volleyball player, served the ball to Japan, who responded with an early attack that opened up their offense."
131015,156803,"Not Suka serving Luccarelli, who just about deals with that.That's Wallace with no real play on there.A little whiff there, I think, in the middle from Onadira, and they pay for that.Yohendi Leal says that's enough of that.That's an attack matchup that's advantage to Brazil.Leal attacking against Sekita, the smaller setter, but that time Leal goes hard cross court for the winner.",0.4298,"Suka served the ball to Luccarelli, who barely managed to handle it. Wallace didn't get a chance to play the ball and Onadira's middle attack was weak, resulting in a Brazil advantage. Leal took over the attack, going up against Sekita, but this time he chose a powerful cross-court shot that resulted in a winner for Brazil."
158335,177728,"So Wallace, another one of these veterans with serve.It's a nice take.Look out.Eugene Nishida absolutely rips it down there.I mean, that's Thales who gets everything back in the backcourt for Brazil, but that was just too hot even for him to handle.Nishida off to a brilliant start here.",0.3232166666666666,"Wallace serves and Eugene Nishida responds with an excellent hit, which is so powerful that even Thales from Brazil can't return it, giving Japan an early boost in the game."
178450,204647,"That's his third point of the match.The net serve from Aladira, side out.Leal.",0.4366166666666666,"Wallace scores his third point in the match with a successful receive of the net serve by Aladira, resulting in a side out and giving Leal possession of the ball."
207731,233400,"Oh, nice.Nice.Hey, they need a kick start.Maybe Joanne Leal can provide it.Well, Brazil gets an ace back this time from Leal, challenging that seam.Yamamoto, we should have taken that one.So Leal looking to level it up here for Brazil.And he does with another ace and a completely different serve that's swirled away from Ran Takahashi.",0.4278166666666667,"Joanne Leal served an ace, followed by another ace to give Brazil some momentum, challenging Yamamoto and leveling the score."
233420,257533,"Well, this is outstanding serving from Yande Leal.And this is one of the hardest balls to pass.Straight at you, actually going away from Ran to his line.Line to line serve from Leal for another ace.It's been a while since we've had a hat trick of aces.And we're going to have to wait again.It's a much better take from Ran Takahashi who comes up with third touch as well.",0.4018833333333333,"Yande Leal continued his strong serving, delivering a difficult ball that was almost impossible for Ran Takahashi to pass, resulting in another ace. This marked the second consecutive ace for Leal, and he nearly achieved a hat trick of aces before settling for two. Takahashi managed to recover and come up with a good third touch to salvage the situation."
257573,276615,"And it's a perfect one right at the feet of the back row defender.Great pass leads to great in-system offense and Ran Takahashi attacking against Fernando.That's advantage Japan all match long.Masahiro Sakita, the setter.Oh, he's found a nice.",0.3173666666666667,"Japan's back row defender receives a perfect serve right at their feet, leading to a well-executed pass and subsequent in-system offense. Ran Takahashi attacks successfully against Fernando, giving Japan an advantage that has persisted throughout the match. The Japanese team then turns to setter Masahiro Sakita, who finds a suitable target for his next move."
